nb requete;questions;couts;temps;date;requete_sql
1;DTop 10 des communes générant le plus de Chiffre d'affaires via WAVE en 2025;0.01420615;60.2531852722168;25/09/2025 15:05;
1;quelles sont les types et marques d’appareils les plus utilisés par zone;0.01878985;79.69913840293884;25/09/2025 15:19;
1;quel est le parc actif 4G au mois de Mai;0.0135734;52.11375951766968;25/09/2025 15:24;
1;Donne moi le Ca des offres bundle du mois de mai;0.0146412;49.71064615249634;25/09/2025 15:27;
1;Donne moi le Ca bundle du mois de Janvier;0.01430115;58.47291874885559;25/09/2025 15:31;
1;Donne moi le Ca des souscriptions bundle du mois de Juin;0.01454975;50.211498975753784;25/09/2025 15:34;
1;Top 10 des communes générant le plus de Chiffre d'affaires via Wave en 2025;0.016110199999999998;47.72301769256592;25/09/2025 15:38;
1;Top 10 des communes générant le plus de Chiffre d'affaires via Wave en 2025;0.01304025;44.41010355949402;25/09/2025 15:41;
1;donnez le top 5 des communes ayant généré le plus de revenus sur les crédit Seddo;0.01548665;60.09504556655884;25/09/2025 15:58;
1;Top 5 des communes ayant généré le plus de revenus sur les crédit Seddo;0;30.658382177352905;25/09/2025 16:04;
1;donne moi la Top 5 des communes ayant généré le plus de revenus sur les crédit Seddo;0;37.55480909347534;25/09/2025 16:15;
1;Donne moi le volume des appels par commune pour les clients Mass-Market;0;39.0263671875;25/09/2025 16:18;
1;Quel est le volume total d’appels sortants vers Expresso en 2024 ;0;20.3138530254364;25/09/2025 16:20;
1;Quel est le volume total d’appels sortants vers Expresso en 2024 ;0;22.3451189994812;25/09/2025 16:21;
1;Quel est le volume total d’appels sortants vers Expresso en 2024;0;18.350030660629272;25/09/2025 16:23;
1;Quel est le volume total d’appels sortants vers Expresso en 2024;0;16.778100967407227;25/09/2025 16:25;
1;Donne moi le top 10 des communes générant le plus de Chiffre d'affaires via WAVE en 2025;0;60.264931440353394;26/09/2025 09:55;
1;Donne moi le top 5 des communes ayant généré le plus de revenus Seddo;0;32.38552236557007;26/09/2025 09:57;
1;Donne moi le top 15 des communes ayant généré le plus de CA avec les crédits OM;0;33.14487338066101;26/09/2025 10:08;
1;je veux le CA hors taxe;0;35.57792615890503;26/09/2025 10:10;
1;je veux le CA hors taxe;0.012225950000000001;40.17951941490173;26/09/2025 10:12;
1;je veux le top 5 des communes ayant généré le plus de revenus via Seddo;0.01513285;46.135034799575806;26/09/2025 10:45;
1;donne moi ca recharge de Janvier;0.0121741;63.27990984916687;26/09/2025 10:47;
1;Donne moi le Top 10 des communes ayant généré le plus de CA WAVE en 2025;0.01464565;47.68317127227783;26/09/2025 10:54;
1;donne moi le nom des cellules ayant un débit moyen utilisateur inférieur à 1 Mbps sur le mois de mai 2025;0;34.99675154685974;26/09/2025 11:00;
1;je veux le top 5 des communes ayant généré le plus de ca Seddo;0;40.69075584411621;26/09/2025 11:08;
1;je veux le top 5 des communes ayant généré le plus de ca Seddo;0.015354200000000002;52.221996784210205;26/09/2025 11:10;
1; je veux la liste des cellules ayant un débit moyen utilisateur inférieur à 1 Mbps sur le mois de mai 2025;0.0119298;47.565690994262695;26/09/2025 11:13;
1;je veux la liste des cellules ayant un débit moyen utilisateur inférieur à 1 Mbps sur le mois de mai 2025;0.01087985;27.254456996917725;26/09/2025 11:19;
1;je veux la liste des cellules ayant un débit moyen utilisateur inférieur à 1 Mbps sur le mois de mai 2025;0.01407895;48.50799751281738;26/09/2025 11:22;
1;donne moi le chiffre d'affaires généré par carte;0;104.3152084350586;28/09/2025 20:19;
1;je veux le Nombre d’abonnés jeunes sur les offres illiflex par région;0;109.84306645393372;29/09/2025 10:13;
1;donne moi le nombre de clients qui sont data user;0;37.878756046295166;29/09/2025 10:22;
1;donne moi le nombre de clients qui sont des data user;0;26.040953159332275;29/09/2025 10:31;
1;donne moi les clients qui font partie du parc actif orange;0;58.97179698944092;29/09/2025 10:48;
1;Quel est le CA data, ca recharge, ca voix par marché sur le T1 2025;0;35.69597411155701;29/09/2025 10:51;
1;donne moi le ca de Aout 2024 à Aout 2025;0;29.163044214248657;29/09/2025 11:29;
1;Quel est le CA généré par le canal OM sur maxit;0;27.647350788116455;29/09/2025 14:19;
1;Donne moi le volume d’appels par commune pour les clients Mass-Market;0.017978749999999998;70.45931005477905;29/09/2025 14:39;
1;Quel est le CA généré par le canal OM sur maxit;0.01453485;47.51941967010498;29/09/2025 14:43;
1;Donne-moi le nombre d’abonnés ayant souscrit à ILLIMIX JOUR 500F sur les 3 derniers mois;0.017230600000000002;55.914024114608765;29/09/2025 14:54;
1;Quel est l'évolution du Chiffre d'affaire entre Janvier et Juin 2025;0.01430785;57.60872936248779;29/09/2025 16:05;
1;Quelle est l'évolution du trafic data;0.0136018;45.76942300796509;30/09/2025 10:29;
1;Quelle est l'évolution du trafic data;0.013362;42.02826929092407;30/09/2025 16:06;
1;Quelle est l'évolution du trafic data;0.014119699999999999;45.19713020324707;30/09/2025 16:09;
1;Quelle est l'évolution du trafic data;0.014959150000000001;63.446974992752075;30/09/2025 16:17;
1;Quelle est l'évolution du trafic data;0.013677149999999999;52.253323554992676;30/09/2025 16:23;
1;Donne moi le volume des appels vers Free;0.0163609;61.59699892997742;30/09/2025 16:25;
1;Donne moi le ca total;0.0121374;41.12076258659363;30/09/2025 16:29;
1;Quelle est l'évolution du trafic data;0.01617055;60.55560231208801;01/10/2025 09:17;
1;donne moi le ca seddo d'Octobre 2024 à Mai 2025;0.0137522;60.86567664146423;01/10/2025 09:23;
1;Donne moi le parc actif orange de 2025;0.01104495;38.51121973991394;01/10/2025 09:29;
1;donne moi le ca des offres illimix;0.012469399999999999;45.06266212463379;01/10/2025 09:37;
1;donne moi le ca des offres bundles;0.014856499999999998;50.649269819259644;01/10/2025 10:12;
1;donne moi le ca des offres de type bundles;0.01243215;43.10291647911072;01/10/2025 10:14;
1;Donne moi le Ca pass internationaux du mois de Mars;0.0146908;38.40666103363037;01/10/2025 10:28;
1;Donne moi le Ca pass généré à l'international au mois de Mars;0.0088823;20.32106852531433;01/10/2025 10:43;
1;Donne moi le Chiffre d'affaire généré par les pass internationaux au Mars 2025;0.0082191;23.8552303314209;01/10/2025 10:48;
1;Donne moi le Chiffre d'affaire généré par les pass internationaux au Mars 2025;0.007559900000000001;16.457895278930664;01/10/2025 10:50;
1;Donne moi le Chiffre d'affaire généré par les pass internationaux au Mars 2025;0;113.98151183128357;01/10/2025 10:53;
1;Donne moi le Chiffre d'affaire généré par les pass internationaux en 2025;0.0092128;20.34549307823181;01/10/2025 11:04;
1;Donne moi le Chiffre d'affaire généré par les pass internationaux en 2025;0;42.03122544288635;01/10/2025 11:06;
1;donne moi le ca cartes;0;37.52028155326843;01/10/2025 11:07;
1;donne moi le ca par cartes bancaires;0;20.352282285690308;01/10/2025 11:09;
