;year;month;ca_data;montant_pass;parc_pass;parc_bundle
0;2025;5;6748950.699729919;4896610;29;0
1;2025;4;6106835.56414032;4191108;39;0
2;2025;3;7309349.982475281;5192152;37;0
3;2025;2;8150531.988883972;5237362;37;0
4;2025;1;5473849.057098389;3210078;33;0
