;year;month;ca_data;montant_pass;parc_pass;trafic_data
0;2025;1;;;0;2326637.87510673
1;2025;2;;;0;2890545.848007826
2;2025;3;;;0;2838654.069951126
3;2025;4;;;0;2399212.5975992116
4;2025;5;;;0;2563607.19179947
